id_estacion,id_usuario,fecha_ingreso,codigo,anio,mes,dia,rr,hora,fecha_toma
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,1,0.0,19,2022-02-01 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,2,0.2,07,2022-02-02 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,2,0.0,13,2022-02-02 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,2,0.0,19,2022-02-02 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,3,0.0,07,2022-02-03 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,3,0.0,13,2022-02-03 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,3,0.0,19,2022-02-03 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,4,0.0,07,2022-02-04 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,4,0.0,13,2022-02-04 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,4,13.6,19,2022-02-04 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,5,0.3,07,2022-02-05 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,5,0.0,13,2022-02-05 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,5,0.4,19,2022-02-05 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,6,6.1,07,2022-02-06 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,6,0.3,13,2022-02-06 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,6,5.8,19,2022-02-06 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,7,0.1,07,2022-02-07 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,7,0.0,13,2022-02-07 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,7,3.1,19,2022-02-07 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,8,4.8,07,2022-02-08 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,8,0.1,13,2022-02-08 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,8,8.7,19,2022-02-08 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,9,0.0,07,2022-02-09 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,9,0.0,13,2022-02-09 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,9,0.0,19,2022-02-09 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,10,0.3,07,2022-02-10 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,10,0.0,13,2022-02-10 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,10,2.7,19,2022-02-10 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,11,3.0,07,2022-02-11 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,11,0.0,13,2022-02-11 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,11,3.8,19,2022-02-11 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,12,4.7,07,2022-02-12 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,12,0.0,13,2022-02-12 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,12,9.4,19,2022-02-12 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,13,0.6,07,2022-02-13 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,13,0.0,13,2022-02-13 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,13,15.6,19,2022-02-13 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,14,8.1,07,2022-02-14 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,14,0.0,13,2022-02-14 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,14,0.2,19,2022-02-14 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,15,10.3,07,2022-02-15 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,15,0.0,13,2022-02-15 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,15,0.0,19,2022-02-15 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,16,0.0,07,2022-02-16 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,16,0.0,13,2022-02-16 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,16,0.0,19,2022-02-16 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,17,0.0,07,2022-02-17 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,17,0.0,13,2022-02-17 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,17,0.0,19,2022-02-17 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,18,0.0,07,2022-02-18 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,18,0.0,13,2022-02-18 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,18,7.6,19,2022-02-18 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,19,1.6,07,2022-02-19 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,19,0.0,13,2022-02-19 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,19,0.6,19,2022-02-19 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,20,12.5,07,2022-02-20 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,20,4.2,13,2022-02-20 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,20,1.1,19,2022-02-20 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,21,7.9,07,2022-02-21 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,21,2.8,13,2022-02-21 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,21,0.7,19,2022-02-21 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,22,0.0,07,2022-02-22 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,22,0.0,13,2022-02-22 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,22,1.6,19,2022-02-22 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,23,0.8,07,2022-02-23 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,23,0.0,13,2022-02-23 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,23,0.0,19,2022-02-23 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,24,0.6,07,2022-02-24 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,24,0.0,13,2022-02-24 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,24,8.2,19,2022-02-24 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,25,4.8,07,2022-02-25 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,25,0.0,13,2022-02-25 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,25,8.1,19,2022-02-25 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,26,1.7,07,2022-02-26 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,26,0.0,13,2022-02-26 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,26,4.7,19,2022-02-26 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,27,0.6,07,2022-02-27 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,27,0.0,13,2022-02-27 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,27,0.8,19,2022-02-27 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,28,4.6,07,2022-02-28 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,28,0.0,13,2022-02-28 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,28,24.1,19,2022-02-28 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,1,6.3,07,2022-03-01 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,1,0.0,13,2022-03-01 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,1,13.1,19,2022-03-01 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,2,2.6,07,2022-03-02 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,2,0.0,13,2022-03-02 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,2,3.2,19,2022-03-02 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,3,2.3,07,2022-03-03 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,3,0.0,13,2022-03-03 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,3,0.0,19,2022-03-03 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,4,2.4,07,2022-03-04 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,4,0.2,13,2022-03-04 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,4,0.0,19,2022-03-04 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,5,3.0,07,2022-03-05 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,5,0.8,13,2022-03-05 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,5,6.4,19,2022-03-05 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,6,2.6,07,2022-03-06 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,6,1.2,13,2022-03-06 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,6,2.8,19,2022-03-06 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,7,8.7,07,2022-03-07 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,7,0.3,13,2022-03-07 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,7,3.4,19,2022-03-07 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,8,0.3,07,2022-03-08 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,8,0.0,13,2022-03-08 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,8,0.0,19,2022-03-08 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,9,0.0,07,2022-03-09 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,9,0.0,13,2022-03-09 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,9,0.0,19,2022-03-09 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,10,0.0,07,2022-03-10 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,10,0.0,13,2022-03-10 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,10,0.0,19,2022-03-10 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,11,0.0,07,2022-03-11 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,11,0.0,13,2022-03-11 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,11,1.2,19,2022-03-11 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,12,0.6,07,2022-03-12 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,12,0.0,13,2022-03-12 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,12,0.0,19,2022-03-12 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,13,0.0,07,2022-03-13 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,13,0.0,13,2022-03-13 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,13,2.1,19,2022-03-13 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,14,10.8,07,2022-03-14 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,14,0.0,13,2022-03-14 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,14,0.5,19,2022-03-14 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,15,4.0,07,2022-03-15 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,15,0.0,13,2022-03-15 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,15,8.7,19,2022-03-15 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,16,0.3,07,2022-03-16 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,16,8.6,13,2022-03-16 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,16,15.4,19,2022-03-16 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,17,6.2,07,2022-03-17 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,17,0.0,13,2022-03-17 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,17,5.7,19,2022-03-17 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,18,0.0,07,2022-03-18 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,18,0.0,13,2022-03-18 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,18,12.3,19,2022-03-18 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,19,0.8,07,2022-03-19 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,19,0.6,13,2022-03-19 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,19,0.0,19,2022-03-19 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,20,0.0,07,2022-03-20 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,20,0.0,13,2022-03-20 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,20,0.0,19,2022-03-20 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,21,0.0,07,2022-03-21 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,21,0.0,13,2022-03-21 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,21,0.0,19,2022-03-21 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,22,0.8,07,2022-03-22 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,22,0.0,13,2022-03-22 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,22,0.0,19,2022-03-22 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,23,0.0,07,2022-03-23 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,23,0.0,13,2022-03-23 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,23,1.1,19,2022-03-23 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,24,0.4,07,2022-03-24 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,24,1.6,13,2022-03-24 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,24,9.3,19,2022-03-24 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,25,0.0,07,2022-03-25 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,25,0.0,13,2022-03-25 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,25,0.0,19,2022-03-25 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,26,0.0,07,2022-03-26 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,26,0.0,13,2022-03-26 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,26,2.4,19,2022-03-26 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,27,0.0,07,2022-03-27 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,27,0.0,13,2022-03-27 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,27,1.6,19,2022-03-27 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,28,0.0,07,2022-03-28 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,28,0.0,13,2022-03-28 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,28,2.6,19,2022-03-28 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,29,0.0,07,2022-03-29 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,29,0.0,13,2022-03-29 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,29,13.4,19,2022-03-29 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,30,14.6,07,2022-03-30 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,30,0.0,13,2022-03-30 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,30,1.6,19,2022-03-30 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,31,2.2,07,2022-03-31 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,31,0.0,13,2022-03-31 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,3,31,0.0,19,2022-03-31 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,4,1,3.6,07,2022-04-01 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,4,1,0.0,13,2022-04-01 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,4,1,4.6,19,2022-04-01 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,4,2,12.1,07,2022-04-02 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,4,2,0.0,13,2022-04-02 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,4,2,0.0,19,2022-04-02 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,4,3,0.0,07,2022-04-03 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,4,3,0.0,13,2022-04-03 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,4,3,0.0,19,2022-04-03 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,4,4,0.6,07,2022-04-04 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,4,4,0.0,13,2022-04-04 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,4,4,2.1,19,2022-04-04 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,4,5,0.0,07,2022-04-05 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,4,5,0.0,13,2022-04-05 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,4,5,0.0,19,2022-04-05 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,4,6,0.0,07,2022-04-06 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,4,6,0.0,13,2022-04-06 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,4,6,0.0,19,2022-04-06 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,4,7,0.0,07,2022-04-07 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,4,7,0.0,13,2022-04-07 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,4,7,0.6,19,2022-04-07 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,4,8,0.3,07,2022-04-08 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,4,8,0.0,13,2022-04-08 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,4,8,6.7,19,2022-04-08 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,4,9,11.4,07,2022-04-09 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,4,9,0.0,13,2022-04-09 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,4,9,4.6,19,2022-04-09 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,4,10,3.1,07,2022-04-10 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,4,10,0.0,13,2022-04-10 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,4,10,0.0,19,2022-04-10 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,4,11,0.0,07,2022-04-11 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,4,11,0.0,13,2022-04-11 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,4,11,0.0,19,2022-04-11 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,4,12,0.0,07,2022-04-12 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,4,12,0.0,13,2022-04-12 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,4,12,0.0,19,2022-04-12 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,4,13,0.0,07,2022-04-13 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,4,13,0.0,13,2022-04-13 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,4,13,0.0,19,2022-04-13 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,4,14,0.0,07,2022-04-14 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,4,14,0.0,13,2022-04-14 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,4,14,0.0,19,2022-04-14 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,4,15,0.0,07,2022-04-15 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,4,15,0.0,13,2022-04-15 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,4,15,0.0,19,2022-04-15 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,4,16,0.0,07,2022-04-16 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,4,16,0.0,13,2022-04-16 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,4,16,7.4,19,2022-04-16 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,4,17,0.2,07,2022-04-17 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,4,17,0.0,13,2022-04-17 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,4,17,5.4,19,2022-04-17 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,4,18,6.4,07,2022-04-18 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,4,18,0.0,13,2022-04-18 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,4,18,24.1,19,2022-04-18 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,4,19,33.1,07,2022-04-19 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,4,19,0.0,13,2022-04-19 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,4,19,1.2,19,2022-04-19 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,4,20,0.6,07,2022-04-20 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,4,20,3.2,13,2022-04-20 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,4,20,9.4,19,2022-04-20 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,4,21,10.6,07,2022-04-21 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,4,21,0.0,13,2022-04-21 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,4,21,0.0,19,2022-04-21 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,4,22,0.7,07,2022-04-22 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,4,22,0.0,13,2022-04-22 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,4,22,1.2,19,2022-04-22 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,4,23,0.0,07,2022-04-23 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,4,23,0.0,13,2022-04-23 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,4,23,4.2,19,2022-04-23 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,4,24,9.4,07,2022-04-24 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,4,24,0.0,13,2022-04-24 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,4,24,2.1,19,2022-04-24 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,4,25,3.2,07,2022-04-25 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,4,25,0.0,13,2022-04-25 13:00:00
